                                                     9 Jul 2020 11:53:19
Sensor-Camera


      Time (UTCG)          camera_integral (HMS)    camera_integral Rate
1 Jul 2020 10:42:50.000            -01:51:36.117               -5.000000
1 Jul 2020 10:43:00.000            -01:52:26.117               -5.000000
1 Jul 2020 10:43:10.000            -01:53:16.117               -5.000000
1 Jul 2020 10:43:20.000            -01:54:06.117               -5.000000
1 Jul 2020 10:43:30.000            -01:54:56.117               -5.000000
1 Jul 2020 10:43:40.000            -01:55:46.117               -5.000000
1 Jul 2020 10:43:50.000            -01:56:36.117               -5.000000
1 Jul 2020 10:44:00.000            -01:57:26.117               -5.000000
1 Jul 2020 10:44:10.000            -01:58:16.117               -5.000000
1 Jul 2020 10:44:20.000            -01:59:06.117               -5.000000
1 Jul 2020 10:44:30.000            -01:59:56.117               -5.000000
1 Jul 2020 10:44:40.000            -02:00:46.117               -5.000000
1 Jul 2020 10:44:50.000            -02:01:36.117               -5.000000
1 Jul 2020 10:45:00.000            -02:02:26.117               -5.000000
1 Jul 2020 10:45:10.000            -02:03:16.117               -5.000000
1 Jul 2020 10:45:20.000            -02:04:06.117               -5.000000
1 Jul 2020 10:45:30.000            -02:04:56.117               -5.000000
1 Jul 2020 10:45:40.000            -02:05:46.117               -5.000000
1 Jul 2020 10:45:50.000            -02:06:36.117               -5.000000
1 Jul 2020 10:46:00.000            -02:07:26.117               -5.000000
1 Jul 2020 10:46:10.000            -02:08:16.117               -5.000000
1 Jul 2020 10:46:20.000            -02:09:06.117               -5.000000
1 Jul 2020 10:46:30.000            -02:09:56.117               -5.000000
1 Jul 2020 10:46:40.000            -02:10:46.117               -5.000000
1 Jul 2020 10:46:50.000            -02:11:36.117               -5.000000
1 Jul 2020 10:47:00.000            -02:12:26.117               -5.000000
1 Jul 2020 10:47:10.000            -02:13:16.117               -5.000000
1 Jul 2020 10:47:20.000            -02:14:06.117               -5.000000
1 Jul 2020 10:47:30.000            -02:14:56.117               -5.000000
1 Jul 2020 10:47:40.000            -02:15:46.117               -5.000000
