                                                               9 Jul 2020 11:46:57
Transmitter-Transmitter


      Time (UTCG)          Consumption_integral (HMS)    Consumption_integral Rate
1 Jul 2020 10:50:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:51:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:51:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:51:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:51:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:51:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:51:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:52:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:52:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:52:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:52:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:52:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:52:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:53:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:53:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:53:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:53:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:53:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:53:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:54:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:54:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:54:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:54:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:54:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:54:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:55:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:55:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:55:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:55:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:55:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:55:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:56:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:56:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:56:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:56:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:56:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:56:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:57:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:57:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:57:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:57:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:57:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:57:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:58:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:58:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:58:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:58:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:58:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:58:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:59:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:59:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:59:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:59:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:59:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:59:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:00:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:00:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:00:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:00:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:00:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:00:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:01:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:01:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:01:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:01:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:01:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:01:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:02:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:02:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:02:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:02:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:02:40.000                 -13:13:17.797                     0.000000
